AngleInDegrees,DistInMM,Intensity,ErrorCodeHEX
0,4231,15,0
1,4318,16,0
2,4244,26,0
3,4116,21,0
4,4098,11,0
5,2237,23,0
6,2196,46,0
7,2174,55,0
8,2117,61,0
9,2122,55,0
10,2085,59,0
11,2063,22,0
12,0,0,8035
13,0,0,8035
14,0,0,8035
15,511,198,0
16,0,0,8003
17,486,428,0
18,476,515,0
19,468,581,0
20,464,646,0
21,461,668,0
22,460,684,0
23,460,707,0
24,461,678,0
25,465,623,0
26,470,553,0
27,482,342,0
28,487,285,0
29,480,452,0
30,475,528,0
31,471,548,0
32,471,594,0
33,472,583,0
34,474,576,0
35,0,0,8025
36,469,353,0
37,465,407,0
38,465,403,0
39,485,279,0
40,493,495,0
41,495,560,0
42,495,649,0
43,505,580,0
44,553,736,0
45,558,700,0
46,564,592,0
47,574,475,0
48,582,410,0
49,0,0,8025
50,607,313,0
51,622,307,0
52,654,248,0
53,683,282,0
54,0,0,8025
55,695,208,0
56,707,147,0
57,0,0,8035
58,3149,10,0
59,3015,19,0
60,2866,15,0
61,2779,27,0
62,2644,29,0
63,2535,29,0
64,2438,38,0
65,2354,41,0
66,2275,53,0
67,2205,55,0
68,2129,59,0
69,2067,74,0
70,2008,68,0
71,1951,66,0
72,1898,75,0
73,1850,59,0
74,1676,67,0
75,1628,63,0
76,1585,57,0
77,1545,87,0
78,1507,89,0
79,1212,92,0
80,1188,113,0
81,1165,111,0
82,1146,119,0
83,1121,145,0
84,1106,147,0
85,1088,133,0
86,1072,140,0
87,0,0,8035
88,0,0,8035
89,0,0,8035
90,0,0,8035
91,0,0,8035
92,0,0,8003
93,0,0,8035
94,0,0,8035
95,0,0,8035
96,0,0,8035
97,0,0,8035
98,0,0,8035
99,0,0,8035
100,0,0,8035
101,0,0,8003
102,0,0,8035
103,0,0,8035
104,0,0,8035
105,0,0,8035
106,0,0,8035
107,0,0,8025
108,0,0,8035
109,0,0,8035
110,0,0,8035
111,0,0,8035
112,0,0,8035
113,0,0,8035
114,0,0,8003
115,0,0,8035
116,0,0,8035
117,0,0,8035
118,0,0,8035
119,0,0,8035
120,0,0,8035
121,0,0,8003
122,0,0,8035
123,0,13,8006
124,0,0,8035
125,0,0,8035
126,0,0,8035
127,0,0,8035
128,0,0,8035
129,0,0,8035
130,0,0,8003
131,0,0,8035
132,0,0,8035
133,0,0,8035
134,0,0,8035
135,0,0,8035
136,0,0,8035
137,0,0,8003
138,0,0,8035
139,0,0,8035
140,0,0,8035
141,0,0,8035
142,0,0,8035
143,0,0,8003
144,0,0,8035
145,0,0,8035
